TERYT;DZ_IDENT;GR_WL_OP;je_nr;obr_nazwa;nr;id;pow_ewid;pow_graf;aktualnosc;id_iip;tz;dzk_ident;counter;uchwalenie;data_uchwa;ogloszenie;data_duwm;data_obowi;www;przystapie;data_przys;prowadzacy;wykonanie;uchwala_od;id_pg;oznaczenie;rodzaj_ozn;gdb_id;opis_oznac;nazwa_mpzp;nazwa;data_uchwa_1;uchwalenie_1;ogloszenie_1;data_duwm_1;data_obowi_1;www_1;id_pg_1;je_nr_1;obr_nazwa_1;nr_1;id_1;pow_ewid_1;pow_graf_1;aktualnosc_1;id_iip_1;tz_1;dzk_ident_1;counter_1;oznaczenie_1;rodzaj_ozn_1;nazwa_mpzp_1;gdb_id_1;opis_oznac_1;je_nazwa;je_nazwa_1
126105_9;126105_9.0023.19;Gmina Kraków - współwłasność;1261059;S-23;19;62462358;347.0;346.52800001;1704153600000;35DA867C-6F3D-495F-88B4-7DB7A51C2404;0 - nie;126105_9.0023.19;2;null;null;null;null;null;http://www.bip.krakow.pl/?dok_id=109013;XIV/266/19;1556064000000;TWO;BP;null;449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0023.193;Gmina Kraków - współwłasność;1261059;S-23;193;62462362;78.0;77.8455;1704153600000;D761EFAC-390C-4C6B-A769-2E8205EF364B;0 - nie;126105_9.0023.193;2;LXXVII/1128/13;1372204800000;Poz. 4403;null;1374624000000;http://www.bip.krakow.pl/?dok_id=57144;;;;;;18982;MN.5;MN;0D93C18B1EDE0AA5E0630D0A1EAC4A6E;Tereny zabudowy mieszkaniowej jednorodzinnej MN.1 - MN.8;;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0023.935;Gmina Kraków - współwłasność;1261059;S-23;935;62488350;6.0;5.738;1704153600000;1B91396E-A5C8-4EFE-9EAF-0671F5C087DB;0 - nie;126105_9.0023.935;2;XXVII/613/19;1571788800000;poz.7802;1573603200000;1574899200000;https://www.bip.krakow.pl/?dok_id=118552;;;;;;13400;MW.8;MW;0D93C18B2E700AA5E0630D0A1EAC4A6E;Tereny zabudowy mieszkaniowej wielorodzinnej;OLSZA;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0004.864;Gmina Kraków - współwłasność;1261059;S-4;864;64543048;394.0;393.77809999;1704153600000;AFD18D0D-A1A7-7063-E053-B80B10AC69C3;0 - nie;126105_9.0004.864;2;XXVII/613/19;1571788800000;poz.7802;1573603200000;1574899200000;https://www.bip.krakow.pl/?dok_id=118552;;;;;;13466;KDZT.2;KDZT;0D93C18B2E830AA5E0630D0A1EAC4A6E;Tereny drogi publicznej klasy zbiorczej z wydzielonym torowiskiem tramwajowym;OLSZA;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0005.547;Gmina Kraków - współwłasność;1261059;S-5;547;62514880;602.0;601.814;1704153600000;85F2A11F-CC9B-4365-A0CC-CD0176816246;0 - nie;126105_9.0005.547;2;null;null;null;null;null;https://www.bip.krakow.pl/?dok_id=160773;C/2712/22;1669161600000;MAN;BP;null;507;;;;;;GRZEGÓRZKI - CENTRUM;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0003.178;Gmina Kraków - współwłasność;1261059;S-3;178;62499870;1032.0;1031.72045001;1704153600000;DADD0A59-AF1B-4609-A8E2-32262ED78BC2;0 - nie;126105_9.0003.178;2;null;null;null;null;null;http://www.bip.krakow.pl/?dok_id=72568;XXXVII/639/16;1455667200000;KKA;BP;null;189;ZPb.6;ZPb;0D93C18B3E170AA5E0630D0A1EAC4A6E;;;;1378857600000;LXXXI/1240/13;poz. 5685;1380240000000;1382918400000;http://www.bip.krakow.pl/?dok_id=58413;7050;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0005.558;Gmina Kraków - współwłasność;1261059;S-5;558;62536682;45.0;45.8438;1704153600000;9E7A05FB-E814-48EA-B095-47F5E23EBCAA;0 - nie;126105_9.0005.558;2;CV/1411/10;1278460800000;Nr 372  poz. 2563;1279756800000;1282435200000;http://www.bip.krakow.pl/?bip_id=1&ampdok_id=28911&ampsub_dok_id=28911;;;;;;2763;2KDL;KDL;0D93C18B10110AA5E0630D0A1EAC4A6E;Tereny publicznych dróg lokalnych;CYSTERSÓW;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0004.765;Gmina Kraków - współwłasność;1261059;S-4;765;63989042;1618.0;1617.93509993;1704153600000;A7E71C5A-FFB9-49D4-B284-E76C803B7FFB;0 - nie;126105_9.0004.765;2;LXIV/929/13;1357689600000;poz.863;1358812800000;1361491200000;http://www.bip.krakow.pl/?dok_id=54691;;;;;;5722;3KDL;KDL;0D93C18B1C8E0AA5E0630D0A1EAC4A6E;Tereny dróg publicznych - drogi lokalne;;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0004.767;Gmina Kraków - współwłasność;1261059;S-4;767;63991823;459.0;458.62669998;1704153600000;E8007284-E1FD-4ADF-BB09-1C3A1FEB499D;0 - nie;126105_9.0004.767;2;XXVII/613/19;1571788800000;poz.7802;1573603200000;1574899200000;https://www.bip.krakow.pl/?dok_id=118552;;;;;;13423;KDD.37;KDD;0D93C18B2DC30AA5E0630D0A1EAC4A6E;Tereny dróg publicznych klasy dojazdowej;OLSZA;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0004.680;Gmina Kraków - współwłasność;1261059;S-4;680;63990169;466.0;465.8501;1704153600000;45B7BB7A-DBBA-4DA7-9E12-41D44FBE0E0E;0 - nie;126105_9.0004.680;2;XXVII/613/19;1571788800000;poz.7802;1573603200000;1574899200000;https://www.bip.krakow.pl/?dok_id=118552;;;;;;13318;KDD.27;KDD;0D93C18B2DDA0AA5E0630D0A1EAC4A6E;Tereny dróg publicznych klasy dojazdowej;OLSZA;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0004.681;Gmina Kraków - współwłasność;1261059;S-4;681;63989643;438.0;437.65689999;1704153600000;8E9C3D95-543B-4F58-953D-7B820C48C0F9;0 - nie;126105_9.0004.681;2;XXVII/613/19;1571788800000;poz.7802;1573603200000;1574899200000;https://www.bip.krakow.pl/?dok_id=118552;;;;;;13412;KDD.29;KDD;0D93C18B2DD00AA5E0630D0A1EAC4A6E;Tereny dróg publicznych klasy dojazdowej;OLSZA;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0004.805;Gmina Kraków - współwłasność;1261059;S-4;805;65168260;3145.0;3145.21159995;1704153600000;CCD7E7B0-B84A-4360-8C53-E4B599A1F8C1;0 - nie;126105_9.0004.805;2;XXVII/613/19;1571788800000;poz.7802;1573603200000;1574899200000;https://www.bip.krakow.pl/?dok_id=118552;;;;;;13396;KDL.3;KDL;0D93C18B2DEB0AA5E0630D0A1EAC4A6E;Tereny dróg publicznych klasy lokalnej;OLSZA;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0016.435;Gmina Kraków - współwłasność;1261059;S-16;435;63902155;297.0;297.12705;1704153600000;8F47B39E-D5FF-4C48-8DC9-34A007E42C78;0 - nie;126105_9.0016.435;2;LIX/1738/21;1623196800000;poz. 3508;1623974400000;1625270400000;https://www.bip.krakow.pl/?dok_id=142140;;;;;;15669;KDL.1;KDL;0D93C18B35C40AA5E0630D0A1EAC4A6E;Tereny dróg publicznych klasy lokalnej;;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0016.290;Gmina Kraków - współwłasność;1261059;S-16;290;63400860;93.0;93.3546;1704153600000;4AD424E6-CA2C-40E8-8822-3F2ECF38CCE3;0 - nie;126105_9.0016.290;2;LIX/1738/21;1623196800000;poz. 3508;1623974400000;1625270400000;https://www.bip.krakow.pl/?dok_id=142140;;;;;;15782;U/MNi.2;U/MNi;0D93C18B35B30AA5E0630D0A1EAC4A6E;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126105_9;126105_9.0016.291;Gmina Kraków - współwłasność;1261059;S-16;291;63400861;175.0;174.7235;1704153600000;6B01DA48-4A51-4147-BCB9-C151394DEB8D;0 - nie;126105_9.0016.291;2;LIX/1738/21;1623196800000;poz. 3508;1623974400000;1625270400000;https://www.bip.krakow.pl/?dok_id=142140;;;;;;15782;U/MNi.2;U/MNi;0D93C18B35B30AA5E0630D0A1EAC4A6E;;;;;;;;;;;;;;;;;;;;;;;;;;;;
